timestamp,cpu_usage,ram_usage,net_in,net_out,disk_read,disk_write
2025-08-19T18:39:34+05:30,38.51,86.00,4599957550006272.00,174717164060672.00,39760677.50,23624994.00
2025-08-19T18:39:37+05:30,20.93,87.00,4600021471199232.00,174760797405184.00,39855373.50,23625898.00
2025-08-19T18:39:40+05:30,21.41,88.00,4600111506128896.00,174839553851392.00,39880901.50,23627522.00
2025-08-19T18:39:44+05:30,10.16,87.00,4600139121426432.00,174871162126336.00,39882885.50,23627914.00
2025-08-19T18:39:47+05:30,16.08,88.00,4600308869103616.00,175034895171584.00,1483.00,2020.00
2025-08-19T18:39:49+05:30,2.54,87.00,4600371842383872.00,175065735888896.00,39913249.50,23629258.00
2025-08-19T18:39:52+05:30,6.90,88.00,4600442608680960.00,175114733748224.00,39914109.50,23629386.00
2025-08-19T18:39:54+05:30,4.09,87.00,4600457838198784.00,175132853141504.00,39916237.50,23629690.00
2025-08-19T18:39:57+05:30,15.82,87.00,4600465912233984.00,175156664205312.00,39942719.00,23630418.00
2025-08-19T18:39:59+05:30,35.63,86.00,4600477505290240.00,175160598462464.00,39999999.00,23635986.00
2025-08-19T18:40:03+05:30,6.04,84.00,4600511584010240.00,175197160210432.00,40005375.50,23736614.50
2025-08-19T18:40:05+05:30,7.62,84.00,4600526721253376.00,175223047454720.00,40010303.50,23736734.50
2025-08-19T18:40:08+05:30,15.89,83.00,4600542600888320.00,175235168993280.00,40015777.00,23736938.50
