Timestamp,CPU,RAM,NET IN,NET OUT,DISK READ,DISK WRITE
2025-08-18T22:49:05+05:30,25.54,81.00,10749843324534784.00,1233037660520448.00,129242933.50,60307603.00
2025-08-18T22:49:08+05:30,21.09,81.00,10749847502061568.00,1233043347996672.00,129266061.50,60307879.00
2025-08-18T22:49:11+05:30,29.08,83.00,10749848986845184.00,1233044887306240.00,4557.00,15328.00
2025-08-18T22:49:14+05:30,13.28,82.00,10749851604090880.00,1233051606581248.00,129267553.50,60308083.00
2025-08-18T22:49:17+05:30,18.63,82.00,10749898790010880.00,1233090638774272.00,129278649.50,60308575.00
2025-08-18T22:49:20+05:30,8.22,82.00,10749903403745280.00,1233096967979008.00,129279649.50,60309267.00
2025-08-18T22:49:23+05:30,15.62,83.00,10749904527818752.00,1233101334249472.00,129283885.50,60309395.00
2025-08-18T22:49:26+05:30,28.85,84.00,10750571292131328.00,1233429429485568.00,129362345.00,60309823.00
2025-08-18T22:49:30+05:30,10.14,84.00,10751549206691840.00,1233648237936640.00,4557.00,15424.00
2025-08-18T22:49:33+05:30,13.28,84.00,10751557771460608.00,1233660632104960.00,129392043.00,60329143.00
2025-08-18T22:49:37+05:30,34.63,84.00,10751587798482944.00,1233706148691968.00,129393315.00,60329519.00
2025-08-18T22:49:40+05:30,29.67,84.00,10751598334574592.00,1233722883964928.00,129395851.00,60330383.00
2025-08-18T22:49:43+05:30,43.47,86.00,10752171465244672.00,1233899279613952.00,129436045.00,60331227.00
2025-08-18T22:49:47+05:30,27.73,85.00,10752410746093568.00,1234013360488448.00,129441189.00,60341191.00
2025-08-18T22:49:49+05:30,29.94,86.00,10753514833707008.00,1234256936304640.00,129456021.00,60341855.00
2025-08-18T22:49:51+05:30,27.34,84.00,10753740487262208.00,1234365761716224.00,129463825.00,60563163.00
2025-08-18T22:49:55+05:30,27.96,85.00,10754371700654080.00,1234617914884096.00,129472488.50,60564171.00
